No.;Stock Code VDC;Stock Code VDC Claim;Picture;Item Description;Mnemonic;Part Number;Type of Item;Supplier;Suupplier Address;UOI; Price Damage Core ; Price Product  Genuine ; Price Total ;Time Guarantee;Claim Methode;JENIS SC
628;2027670;;;HEX. HEAD WRENCH SETS 1.5 - 10 mm;HEYCO;HY-01340825030;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
629;2027688;;;"CONVERTER IMPACT 1/2"" x 3/4""";HEYCO;HY-06301002236;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
630;1948157;;;SOCKET 1/2 INCH;HEYCO;HY-00050601083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
631;1948165;;;SOCKET 1/2 INCH;HEYCO;HY-00050601183;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
632;1948173;;;SOCKET WRENCH;HEYCO;HY-00050601283;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
633;1948181;;;SOCKET WRENCH;HEYCO;HY-00050601483;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
634;1948199;;;SOCKET 1/2 INCH;HEYCO;HY-00050601583;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
635;1948207;;;SOCKET 1/2 INCH;HEYCO;HY-00050601683;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
636;1948215;;;SOCKET WRENCH;HEYCO;HY-00050601783;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
637;1948223;;;SOCKET 1/2 INCH;HEYCO;HY-00050601883;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
638;1969195;;;Impact Socket Long;HEYCO;HY-06600194636;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
639;1969229;;;Impact Socket Long;HEYCO;HY-06600194136;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
640;1949346;;;SOCKET DRIVE;HEYCO;HY-00050365083;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
641;1958016;;;SINGE ENDED WRENCH 32 MM;HEYCO;HY-00840003280;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
642;2099414;;;SUCTION LIFTER;HEYCO;2145000000;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
643;2093334;;;SCREWDRIVER-SETS;HEYCO;HY-01450000033;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
644;2093342;;;ENGINEERS SCREWDRIVERS;HEYCO;4537010080;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
645;2099448;;;PISTON RING SPREADER;HEYCO;1706015055;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
646;2084317;;;TORQUEWRENCH;HEYCO;792000080;;LANCAR MAKMUR BERSAMA;JAKARTA BARAT;EACH;;;;1;CWP;GENUINE
